service_id,date,exception_type
582_8__524___,2025-07-30,2
582_8__524___,2025-08-01,2
582_8__524___,2025-08-08,2
584_8__524___,2025-07-25,2
584_8__524___,2025-07-27,2
584_8__524___,2025-07-28,2
584_8__524___,2025-07-29,2
584_8__524___,2025-07-30,2
584_8__524___,2025-08-01,2
584_8__524___,2025-08-08,2
586_8__524___,2025-07-25,2
586_8__524___,2025-07-26,2
586_8__524___,2025-07-27,2
586_8__524___,2025-07-28,2
586_8__524___,2025-07-29,2
586_8__524___,2025-07-30,2
586_8__524___,2025-08-01,2
586_8__524___,2025-08-08,2
590_8__524___,2025-08-01,2
590_8__524___,2025-08-03,2
590_8__524___,2025-08-08,2
590_8__524___,2025-08-10,2
590_8__524___,2025-08-15,2
595_8__524___,2025-07-28,2
595_8__524___,2025-07-29,2
595_8__524___,2025-07-30,2
595_8__524___,2025-07-31,2
595_8__524___,2025-08-14,2
580_8__525___,2025-07-27,2
580_8__525___,2025-08-04,2
580_8__525___,2025-08-05,2
580_8__525___,2025-08-06,2
580_8__525___,2025-08-07,2
580_8__525___,2025-08-11,2
580_8__525___,2025-08-12,2
580_8__525___,2025-08-13,2
580_8__525___,2025-08-14,2
582_8__525___,2025-07-25,2
582_8__525___,2025-07-27,2
584_8__525___,2025-07-25,2
584_8__525___,2025-07-27,2
586_8__525___,2025-07-25,2
586_8__525___,2025-07-27,2
588_8__525___,2025-07-26,2
588_8__525___,2025-08-04,2
588_8__525___,2025-08-05,2
588_8__525___,2025-08-06,2
588_8__525___,2025-08-07,2
588_8__525___,2025-08-11,2
588_8__525___,2025-08-12,2
588_8__525___,2025-08-13,2
588_8__525___,2025-08-14,2
599_8__525___,2025-08-01,2
599_8__525___,2025-08-03,2
599_8__525___,2025-08-08,2
599_8__525___,2025-08-10,2
599_8__525___,2025-08-15,2
171_8__526___,2025-07-25,2
171_8__526___,2025-07-27,2
172_8__526___,2025-07-25,2
172_8__526___,2025-07-27,2
173_8__526___,2025-07-25,2
173_8__526___,2025-07-27,2
174_8__526___,2025-07-25,2
174_8__526___,2025-07-27,2
181_8__526___,2025-07-25,2
181_8__526___,2025-07-26,2
181_8__526___,2025-07-27,2
183_8__526___,2025-07-25,2
183_8__526___,2025-07-26,2
183_8__526___,2025-07-27,2
184_8__526___,2025-07-25,2
184_8__526___,2025-07-27,2
182_8__526___,2025-07-27,2
182_8__526___,2025-07-28,2
182_8__526___,2025-07-29,2
182_8__526___,2025-07-30,2
182_8__526___,2025-07-31,2
645_8__528___,2025-07-24,2
645_8__528___,2025-08-04,2
645_8__528___,2025-08-05,2
645_8__528___,2025-08-06,2
645_8__528___,2025-08-07,2
645_8__528___,2025-08-11,2
645_8__528___,2025-08-12,2
645_8__528___,2025-08-13,2
215_8__528___,2025-07-28,2
215_8__528___,2025-07-29,2
215_8__528___,2025-07-30,2
215_8__528___,2025-07-31,2
215_8__528___,2025-08-14,2
215_8__528___,2025-08-15,2
216_8__528___,2025-07-28,2
216_8__528___,2025-07-29,2
216_8__528___,2025-07-30,2
216_8__528___,2025-07-31,2
216_8__528___,2025-08-14,2
216_8__528___,2025-08-15,2
217_8__528___,2025-07-25,2
217_8__528___,2025-07-27,2
