shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
9__1__013__1_-_IT_1,40.0337888533393,-3.59793613202943,7000006,30.515149282809
9__1__013__1_-_IT_1,40.0338079022812,-3.59790875684751,7000007,30.567291158584
9__1__013__1_-_IT_1,40.0338284681762,-3.59788143357558,7000008,30.622695755808
9__1__013__1_-_IT_1,40.0338518493673,-3.59785450173159,7000009,30.681566619487
9__1__013__1_-_IT_1,40.0338781899047,-3.59783147412607,7000010,30.743959964486
9__1__013__1_-_IT_1,40.0339015150856,-3.59781539640544,7000011,30.809283232846
9__1__013__1_-_IT_1,40.0339277756306,-3.59780787237295,7000012,30.877591130229
9__1__013__1_-_IT_1,40.0339551890023,-3.59780811172705,7000013,30.948941827612
9__1__013__1_-_IT_1,40.0339867007607,-3.5978223428602,7000014,31.023994915976
9__1__013__1_-_IT_1,40.0340074540992,-3.59784268156102,7000015,31.10193199464
9__1__013__1_-_IT_1,40.0340246156644,-3.59786608907216,7000016,31.182628953325
9__1__013__1_-_IT_1,40.0340411377046,-3.5978980202665,7000017,31.266609997638
9__1__013__1_-_IT_1,40.0340594911772,-3.59792143938408,7000018,31.353444529923
9__1__013__1_-_IT_1,40.0340832527627,-3.5979363776559,7000019,31.443208282762
9__1__013__1_-_IT_1,40.0341082573777,-3.59794124803296,7000020,31.535778344426
9__1__013__1_-_IT_1,40.0341416254733,-3.59794231419512,7000021,31.632053195807
9__1__013__1_-_IT_1,40.0341774094186,-3.59793719994761,7000022,31.732323762698
9__1__013__1_-_IT_1,40.0353951537809,-3.59778037030924,7000023,31.968417882614
9__1__013__1_-_IT_1,40.035423727732,-3.59777167544372,7000024,32.207769155253
9__1__013__1_-_IT_1,40.0354441199777,-3.59776141469792,7000025,32.449547251868
9__1__013__1_-_IT_1,40.0354596900869,-3.59774681958337,7000026,32.693455432583
9__1__013__1_-_IT_1,40.0354741242562,-3.59772136081859,7000027,32.940062644994
9__1__013__1_-_IT_1,40.0354897703377,-3.59769203645905,7000028,33.189715410605
9__1__013__1_-_IT_1,40.0355042404895,-3.5976595992477,7000029,33.442567949878
9__1__013__1_-_IT_1,40.0355216779939,-3.59762951456237,7000030,33.698635196498
9__1__013__1_-_IT_1,40.0355411355896,-3.59759136814171,7000031,33.958608406488
9__1__013__1_-_IT_1,40.0355554014852,-3.59756446497775,7000032,34.221370128412
9__1__013__1_-_IT_1,40.0355647262516,-3.59752886967595,7000033,34.48734029725
9__1__013__1_-_IT_1,40.0355691600486,-3.59747485299065,7000034,34.757945269718
9__1__013__1_-_IT_1,40.0355655010586,-3.59737860135824,7000035,35.036772287445
9__1__013__1_-_IT_1,40.0355187615606,-3.59677277204787,7000036,35.367547235496
9__1__013__1_-_IT_1,40.0355187615606,-3.59677277204787,8000001,35.367547235496
9__1__013__1_-_IT_1,40.0353621756275,-3.59465716088384,8000002,35.548882342326
9__1__013__1_-_IT_1,40.0353621756275,-3.59465716088384,9000001,35.548882342326
9__1__013__1_-_IT_1,40.0352238642184,-3.59280609380941,9000002,35.707556875406
9__1__013__1_-_IT_1,40.0352238642184,-3.59280609380941,10000001,35.707556875406
