stop_id,area_name,area_code
par_8_06515,iglesia de Nuestra Señora del Camino,Q26879840
par_8_06516,Biblioteca Municipal - Miguel Hernández,Q85696194
par_8_06518,Hostal Doña Isabel,Q111117109
par_8_06530,Biblioteca del Centro Penitenciario de Madrid II,Q85695986
par_8_06531,Biblioteca del Centro Penitenciario de Madrid II,Q85695986
par_8_06536,casa consistorial de Meco,Q126830144
par_8_06537,casa consistorial de Meco,Q126830144
par_8_06547,Cerro Perdigones Park,Q24023148
par_8_06549,Cerro Perdigones Park,Q24023148
par_8_06563,Las bodas de Sálvame,Q5803061
par_8_06565,estación de Diputación,Q129571482
par_8_06566,Colegio de San Fernando,Q62933868
par_8_06567,Hospital Dr. R. Lafora,Q87762021
par_8_06568,Hospital Cantoblanco,Q87762013
par_8_06569,Instituto IMDEA Alimentación,Q30274457
par_8_06570,Residencia Universitaria Erasmo,Q111111732
par_8_06571,Colección museográfica de Material Pesado,Q30751566
par_8_06572,Biblioteca de la Universidad Autónoma de Madrid - Biblioteca de Ciencias Fernando González Bernáldez,Q85696840
par_8_06573,Tres Cantos,Q115510827
par_8_06574,Instituto de Micro y Nanotecnología,Q30266894
par_8_06575,Soto de Viñuelas,Q6132665
par_8_06576,Instituto de Micro y Nanotecnología,Q30266894
par_8_06625,Biblioteca Municipal - Miguel de Cervantes,Q85696214
par_8_06627,Biblioteca Municipal - Miguel de Cervantes,Q85696214
par_8_06635,La Granja,Q8779955
par_8_06636,In Vitro Testing Industrial Platform,Q30257028
par_8_06637,In Vitro Testing Industrial Platform,Q30257028
par_8_06638,Centro de Humanización de la Salud,Q107313510
par_8_06639,Centro de Humanización de la Salud,Q107313510
par_8_06640,Centro San Camilo,Q107313605
par_8_06641,Centro San Camilo,Q107313605
par_8_06642,Biblioteca de la comandancia de la Guardia Civil de Tres Cantos,Q85699123
par_8_06643,Biblioteca de la comandancia de la Guardia Civil de Tres Cantos,Q85699123
par_8_06644,Chicharronian 3C Observatory,Q115633545
par_8_06647,Centro Español de Metrología,Q30284579
par_8_06648,Biblioteca Municipal - Lope de Vega,Q5727797
par_8_06649,Biblioteca Municipal - Lope de Vega,Q5727797
par_8_06650,Biblioteca Municipal - Lope de Vega,Q5727797
par_8_06651,Biblioteca Municipal - Lope de Vega,Q5727797
par_8_06652,Biblioteca Municipal - Lope de Vega,Q5727797
par_8_06653,Biblioteca Municipal - Lope de Vega,Q5727797
par_8_06654,Tres Cantos,Q24012644
par_8_06655,Tres Cantos,Q24012644
par_8_06656,Recinto Ferial de Tres Cantos,Q115122647
par_8_06657,Recinto Ferial de Tres Cantos,Q115122647
par_8_06658,In Vitro Testing Industrial Platform,Q30257028
par_8_06660,Biblioteca Municipal Fundación Caja Madrid,Q85699126
par_8_06661,Biblioteca Municipal Fundación Caja Madrid,Q85699126
par_8_06664,Colección museográfica de Material Pesado,Q30751566
par_8_06665,Residencia Universitaria Erasmo,Q111111732
par_8_06666,Hospital Hestia Madrid,Q87762046
par_8_06667,"Biblioteca y Centro de Documentación en Salud Mental del Hospital Dr. R. Lafora,",Q85698014
par_8_06669,Colegio de San Fernando,Q62933868
par_8_06672,Ermita de Valverde,Q18173163
par_8_06673,IECISA Informática El Corte Inglés,Q48782317
par_8_06680,Ermita de San Isidro (Villanueva de la Cañada),Q110147960
par_8_06681,La Granja,Q8779955
par_8_06682,Instituto Europeo de Posgrado,Q24938079
par_8_06684,Barrio del Soto,Q5721116
par_8_06686,NH Madrid Las Tablas,Q111389675
par_8_06687,iglesia de San Pedro Mártir,Q26834156
par_8_06688,MB One,Q63959577
par_8_06689,Colegio Suizo de Madrid,Q25064035
par_8_06690,Amura Alcobendas,Q111409068
par_8_06691,Menina de Alcobendas,Q52637345
par_8_06692,Museo Bonsái Luis Vallejo,Q22127099
par_8_06693,San Sebastián de los Reyes,Q484717
par_8_06694,San Sebastián de los Reyes The Style Outlets,Q129030236
par_8_06695,San Sebastián de los Reyes The Style Outlets,Q129030236
par_8_06697,Fuente del Fresno,Q20021411
par_8_06698,Desert City,Q48781865
par_8_06700,1980 Spanish Grand Prix,Q2561109
par_8_06701,Circuito del Jarama,Q172897
par_8_06703,Arroyo de la Fresnera,Q24000928
par_8_06704,casa consistorial de San Agustín del Guadalix,Q126830203
par_8_06705,casa consistorial de San Agustín del Guadalix,Q126830203
par_8_06706,Carrera y Carrera,Q18285689
par_8_06707,Arroyo de la Fresnera,Q24000928
par_8_06709,Circuito del Jarama,Q172897
par_8_06710,Circuito del Jarama,Q172897
par_8_06711,Circuito del Jarama,Q172897
par_8_06712,Salomón,Q115509177
par_8_06713,Salomón,Q115509177
par_8_06714,Salomón,Q115509177
par_8_06715,Salomón,Q115509177
par_8_06716,Arroyo de la Fresnera,Q24000928
par_8_06717,Circuito del Jarama,Q172897
par_8_06718,Circuito del Jarama,Q172897
par_8_06719,Circuito del Jarama,Q172897
par_8_06720,1980 Spanish Grand Prix,Q2561109
par_8_06722,Desert City,Q48781865
par_8_06723,Fuente del Fresno,Q20021411
par_8_06724,Fuente del Fresno,Q20021411
par_8_06725,Fuente del Fresno,Q20021411
par_8_06726,Fuente del Fresno,Q20021411
par_8_06727,Fuente del Fresno,Q20021411
par_8_06728,Fuente del Fresno,Q20021411
