id,name,population
07003,Alcúdia,20651
07004,Algaida,5963
07005,Andratx,11571
07006,ArtÍ,7984
07008,Binissalem,8895
07010,Bunyola,7037
07011,CalviÍ,51567
07012_AM,Campanet agregacion de municipios,3768
07013,Campos,11425
07014,Capdepera,12003
07015,Ciutadella de Menorca,30638
07016,Consell,4243
07020,Esporles,5134
07022,Felanitx,18164
07023_AM,Ferreries agregacion de municipios,6392
07024,Formentera,11708
07026,Eivissa,50643
07027,Inca,33726
07028_AM,Lloret de Vistalegre agregacion de municipios,2844
07029,Lloseta,6250
07030_AM,Llubí agregacion de municipios,4627
07031,Llucmajor,38224
07032,Maó-Mahón,29578
07033,Manacor,44809
07036,Marratxí,38357
07037,"Mercadal, Es",5444
07038_AM,Montuïri agregacion de municipios,5272
07039,Muro,7515
07040,Palma,419366
07041_AM,Petra agregacion de municipios,3925
07042,Pollença,16969
07043,Porreres,5624
07044,"Pobla, Sa",13873
07045_AM,Puigpunyent agregacion de municipios,5641
07046,Sant Antoni de Portmany,27205
07047_AM,Sencelles agregacion de municipios,5266
07048,Sant Josep de sa Talaia,28299
07050,Sant Joan de Labritja,6635
07051,Sant Llorenç des Cardassar,8920
07052,Sant Lluís,6877
07054,Santa Eulària des Riu,40038
07055,Santa Margalida,12767
07056,Santa María del Camí,7507
07057,Santanyí,12342
07058_AM,Selva agregacion de municipios,6558
07059,"Salines, Ses",5010
07060,Sineu,4122
07061,Sóller,13491
07062,Son Servera,11835
07064,"Castell, Es",7530
07065,Vilafranca de Bonany,3558
08001,Abrera,12620
08003,Alella,9954
08005,"Ametlla del Vallès, L'",8787
08006,Arenys de Mar,15942
08007,Arenys de Munt,9191
08009,Argentona,12629
08010_AM,Artés agregacion de municipios,8068
08011_AM,Aviàagregacion de municipios,4146
08014,Aiguafreda,2556
08015,Badalona,223006
08016_AM,Bagàagregacion de municipios,4673
08017,BalenyÍ,3900
08018_AM,Balsareny agregacion de municipios,4698
08019,Barcelona,1636732
08020,Begues,7356
08022,Berga,16682
08023,Bigues i Riells,9542
08029,Cabrera de Mar,4787
08030,Cabrils,7567
08031,Calaf,3597
08032,Caldes d'Estrac,3097
08033,Caldes de Montbui,17797
08034_AM,Calders agregacion de municipios,3913
