id,name,wikidata_uri,population
05238_AM,Solosancho,https://www.wikidata.org/entity/Q1610933,5593
05240_AM,Sotillo de la Adrada,https://www.wikidata.org/entity/Q1609922,6227
05241_AM,El Tiemblo,https://www.wikidata.org/entity/Q842675,4772
05242_AM,Tiñosillos,https://www.wikidata.org/entity/Q1610960,4659
06002,Aceuchal,https://www.wikidata.org/entity/Q616785,5467
06005_AM,La Albuera,https://www.wikidata.org/entity/Q144268,6889
06006,Alburquerque,https://www.wikidata.org/entity/Q493370,5245
06011,Almendralejo,https://www.wikidata.org/entity/Q490638,33741
06012_AM,Arroyo de San Serván,https://www.wikidata.org/entity/Q1113385,6330
06014,Azuaga,https://www.wikidata.org/entity/Q1368982,7702
06015,Badajoz,https://www.wikidata.org/entity/Q15679,150610
06016_AM,Barcarrota,https://www.wikidata.org/entity/Q534483,5190
06019_AM,Berlanga,https://www.wikidata.org/entity/Q26608,7780
06020_AM,Bienvenida,https://www.wikidata.org/entity/Q535145,3848
06022,Burguillos del Cerro,https://www.wikidata.org/entity/Q1100437,3076
06023,Cabeza del Buey,https://www.wikidata.org/entity/Q1100433,4732
06025,Calamonte,https://www.wikidata.org/entity/Q1020436,6152
06028,Campanario,https://www.wikidata.org/entity/Q1605982,4823
06033_AM,Casas de Don Pedro,https://www.wikidata.org/entity/Q1100425,3718
06036_AM,Castuera,https://www.wikidata.org/entity/Q515016,8133
06039_AM,La Coronada,https://www.wikidata.org/entity/Q1447677,3892
06044_AM,Don Benito,https://www.wikidata.org/entity/Q636120,39214
06050,Fregenal de la Sierra,https://www.wikidata.org/entity/Q1613587,4811
06051_AM,Fuenlabrada de los Montes,https://www.wikidata.org/entity/Q936003,3726
06052_AM,Fuente de Cantos,https://www.wikidata.org/entity/Q1093159,5405
06054,Fuente del Maestre,https://www.wikidata.org/entity/Q1407463,6704
06055_AM,Fuentes de León,https://www.wikidata.org/entity/Q1098694,6322
06058_AM,La Garrovilla,https://www.wikidata.org/entity/Q587063,4793
06059_AM,Granja de Torrehermosa,https://www.wikidata.org/entity/Q1372757,2806
06060_AM,Guareña,https://www.wikidata.org/entity/Q1098716,9251
06063,Herrera del Duque,https://www.wikidata.org/entity/Q1407162,3465
06066_AM,Higuera de Vargas,https://www.wikidata.org/entity/Q929743,5430
06067_AM,Higuera la Real,https://www.wikidata.org/entity/Q953685,3219
06069_AM,Hornachos,https://www.wikidata.org/entity/Q1446441,5240
06070_AM,Jerez de los Caballeros,https://www.wikidata.org/entity/Q1153945,10658
06072,Lobón,https://www.wikidata.org/entity/Q1098700,2760
06074_AM,Llerena,https://www.wikidata.org/entity/Q686184,7348
06080_AM,Medellín,https://www.wikidata.org/entity/Q668384,3906
06083,Mérida,https://www.wikidata.org/entity/Q14323,59424
06085_AM,Monesterio,https://www.wikidata.org/entity/Q733580,6297
06087_AM,Monterrubio de la Serena,https://www.wikidata.org/entity/Q587935,3120
06088,Montijo,https://www.wikidata.org/entity/Q1387091,15483
06091,Navalvillar de Pela,https://www.wikidata.org/entity/Q649045,4392
06093_AM,Oliva de la Frontera,https://www.wikidata.org/entity/Q947183,5798
06094_AM,Oliva de Mérida,https://www.wikidata.org/entity/Q941458,5653
06095,Olivenza,https://www.wikidata.org/entity/Q488052,11871
06097_AM,Orellana la Vieja,https://www.wikidata.org/entity/Q1446374,3702
06103,Puebla de la Calzada,https://www.wikidata.org/entity/Q1387062,5861
06108,Puebla de Sancho Pérez,https://www.wikidata.org/entity/Q678613,2665
06109,Quintana de la Serena,https://www.wikidata.org/entity/Q1387040,4576
06113_AM,Ribera del Fresno,https://www.wikidata.org/entity/Q1442520,5587
06117_AM,Salvatierra de los Barros,https://www.wikidata.org/entity/Q1443754,4721
06120,Santa Amalia,https://www.wikidata.org/entity/Q1407143,3957
06121,Santa Marta,https://www.wikidata.org/entity/Q1629459,4094
06122,Los Santos de Maimona,https://www.wikidata.org/entity/Q1372555,8064
06123_AM,San Vicente de Alcántara,https://www.wikidata.org/entity/Q1442479,7389
06125_AM,Siruela,https://www.wikidata.org/entity/Q1372816,5009
06126_AM,Solana de los Barros,https://www.wikidata.org/entity/Q1442582,4047
06127,Talarrubias,https://www.wikidata.org/entity/Q669707,3355
06128,Talavera la Real,https://www.wikidata.org/entity/Q1387075,5311
06135_AM,Trujillanos,https://www.wikidata.org/entity/Q2572293,3209
06141_AM,Valencia del Ventoso,https://www.wikidata.org/entity/Q1630828,4681
06143,Valverde de Leganés,https://www.wikidata.org/entity/Q1630843,4157
06149,Villafranca de los Barros,https://www.wikidata.org/entity/Q613908,12534
06153,Villanueva de la Serena,https://www.wikidata.org/entity/Q695380,25837
06154,Villanueva del Fresno,https://www.wikidata.org/entity/Q1628563,3335
06155_AM,Villar del Rey,https://www.wikidata.org/entity/Q1615783,7727
06158,Zafra,https://www.wikidata.org/entity/Q140203,16786
06159,Zahínos,https://www.wikidata.org/entity/Q1641406,2780
06160_AM,Zalamea de la Serena,https://www.wikidata.org/entity/Q1613344,5570
06162,"Zarza, La",https://www.wikidata.org/entity/Q1605997,3380
06901,Valdelacalzada,https://www.wikidata.org/entity/Q1246417,2731
06903_AM,Guadiana,https://www.wikidata.org/entity/Q3822025,4454
07001,Alaró,https://www.wikidata.org/entity/Q850939,5741
07002,Alaior,https://www.wikidata.org/entity/Q847324,9477
07003,Alcúdia,https://www.wikidata.org/entity/Q385923,20651
07004,Algaida,https://www.wikidata.org/entity/Q851011,5963
07005,Andratx,https://www.wikidata.org/entity/Q493017,11571
07006,ArtÍ,https://www.wikidata.org/entity/Q220659,7984
07008,Binissalem,https://www.wikidata.org/entity/Q837121,8895
07010,Bunyola,https://www.wikidata.org/entity/Q837125,7037
07012_AM,Campanet,https://www.wikidata.org/entity/Q850989,3768
07013,Campos,https://www.wikidata.org/entity/Q743716,11425
07014,Capdepera,https://www.wikidata.org/entity/Q920971,12003
07015,Ciutadella de Menorca,https://www.wikidata.org/entity/Q899884,30638
07016,Consell,https://www.wikidata.org/entity/Q950889,4243
07020,Esporles,https://www.wikidata.org/entity/Q847321,5134
07022,Felanitx,https://www.wikidata.org/entity/Q743741,18164
07023_AM,Ferreries,https://www.wikidata.org/entity/Q983461,6392
07024,Formentera,https://www.wikidata.org/entity/Q52626,11708
07026,Ibiza,https://www.wikidata.org/entity/Q473914,50643
07027,Inca,https://www.wikidata.org/entity/Q988688,33726
07028_AM,Lloret de Vistalegre,https://www.wikidata.org/entity/Q988714,2844
07029,Lloseta,https://www.wikidata.org/entity/Q847317,6250
07030_AM,Llubí,https://www.wikidata.org/entity/Q185409,4627
07031,Llucmajor,https://www.wikidata.org/entity/Q927498,38224
07032,Maó,https://www.wikidata.org/entity/Q49550,29578
